tweet_id,retweet_count,favorite_count
666020888022790149,474,2467
666029285002620928,44,121
666033412701032449,43,118
666044226329800704,134,279
666049248165822465,41,99
666050758794694657,55,126
666051853826850816,796,1156
666055525042405380,224,414
666057090499244032,129,274
666058600524156928,55,107
666063827256086533,201,452
666071193221509120,54,137
666073100786774016,148,304
666082916733198337,42,105
666094000022159362,68,156
666099513787052032,63,143
666102155909144576,11,73
666104133288665088,6096,13679
666268910803644416,32,96
666273097616637952,74,162
666287406224695296,62,139
666293911632134144,326,471
666337882303524864,85,184
666345417576210432,129,280
666353288456101888,71,207
666362758909284353,530,741
666373753744588802,86,176
666396247373291520,80,160
666407126856765440,34,100
666411507551481857,312,422
666418789513326592,43,114
666421158376562688,107,305
666428276349472768,78,157
666430724426358785,180,302
666435652385423360,50,157
666437273139982337,42,118
666447344410484738,18,98
666454714377183233,203,500
666644823164719104,77,224
666649482315059201,596,1085
666691418707132416,45,182
666701168228331520,210,416
666739327293083650,62,226
666776908487630848,167,336
666781792255496192,183,371
666786068205871104,470,732
666804364988780544,86,226
666817836334096384,241,496
666826780179869698,92,244
666835007768551424,77,203
666837028449972224,535,788
666983947667116034,944,2473
666996132027977728,86,235
667012601033924608,215,437
667044094246576128,48,179
667062181243039745,51,212
667065535570550784,42,160
667070482143944705,14,82
667073648344346624,115,389
667090893657276420,119,325
667119796878725120,124,320
667138269671505920,2122,4479
667152164079423490,16405,46444
667160273090932737,60,250
667165590075940865,1100,2620
667171260800061440,82,215
667174963120574464,77,236
667176164155375616,445,592
667177989038297088,53,185
667182792070062081,5978,13976
667188689915760640,392,726
667192066997374976,98,375
667200525029539841,255,599
667211855547486208,233,476
667369227918143488,156,354
667393430834667520,52,190
667405339315146752,215,454
667435689202614272,82,299
667437278097252352,227,440
667443425659232256,559,760
667453023279554560,85,301
667455448082227200,57,186
667470559035432960,94,249
667491009379606528,218,520
667495797102141441,259,505
667502640335572993,213,526
667509364010450944,2060,6624
667517642048163840,185,361
667524857454854144,1078,1652
667530908589760512,228,453
667534815156183040,507,804
667538891197542400,63,197
667544320556335104,508,844
667546741521195010,119,330
667549055577362432,2204,5651
667550882905632768,32,0
667550904950915073,34,0
667724302356258817,311,468
667728196545200128,145,370
667766675769573376,208,432
667773195014021121,54,231
667782464991965184,240,402
667793409583771648,320,685
667801013445750784,94,322
667806454573760512,479,1036
667832474953625600,60,288
667861340749471744,74,234
667866724293877760,1002,2952
667873844930215936,392,616
667878741721415682,114,382
667885044254572545,466,799
667886921285246976,1048,1842
667902449697558528,369,835
667911425562669056,293,480
667915453470232577,54,203
667924896115245057,108,293
667937095915278337,768,1230
668113020489474048,232,655
668142349051129856,275,564
668154635664932864,299,481
668171859951755264,189,474
668190681446379520,192,640
668204964695683073,189,548
668221241640230912,192,503
668226093875376128,101,293
668237644992782336,2776,6065
668248472370458624,471,958
668256321989451776,591,1273
668268907921326080,230,545
668274247790391296,226,807
668286279830867968,133,495
668291999406125056,29,236
668297328638447616,293,611
668466899341221888,500,871
668480044826800133,142,446
668484198282485761,230,417
668496999348633600,127,403
668507509523615744,101,318
668528771708952576,218,451
668537837512433665,70,246
668542336805281792,210,445
668544745690562560,216,503
668567822092664832,51,238
668587383441514497,1049,1649
668614819948453888,311,606
668620235289837568,39,195
668623201287675904,744,1399
668625577880875008,127,379
668627278264475648,110,310
668631377374486528,309,698
668633411083464705,1585,2750
668636665813057536,481,1026
668641109086707712,527,1051
668643542311546881,520,862
