tweet_id retweet_count favorite_count 
666020888022790149 479 2477 
666029285002620928 45 123 
666033412701032449 43 119 
666044226329800704 135 280 
666049248165822465 41 101 
666050758794694657 56 126 
666051853826850816 801 1163 
666055525042405380 225 417 
666057090499244032 131 276 
666058600524156928 56 106 
666063827256086533 202 455 
666071193221509120 54 137 
666073100786774016 150 305 
666082916733198337 42 107 
666094000022159362 68 157 
666099513787052032 63 145 
666102155909144576 11 74 
666104133288665088 6147 13759 
666268910803644416 32 98 
666273097616637952 74 164 
666287406224695296 63 140 
666293911632134144 327 476 
666337882303524864 86 186 
666345417576210432 129 280 
666353288456101888 71 209 
666362758909284353 535 744 
666373753744588802 86 177 
666396247373291520 80 160 
666407126856765440 35 101 
666411507551481857 314 423 
666418789513326592 44 116 
666421158376562688 110 307 
666428276349472768 79 158 
666430724426358785 181 304 
666435652385423360 51 159 
666437273139982337 44 118 
666447344410484738 19 98 
666454714377183233 204 502 
666644823164719104 77 225 
666649482315059201 596 1086 
666691418707132416 46 184 
666701168228331520 212 420 
666739327293083650 64 227 
666776908487630848 168 335 
666781792255496192 183 373 
666786068205871104 471 733 
666804364988780544 88 228 
666817836334096384 242 500 
666826780179869698 92 246 
666835007768551424 77 207 
666837028449972224 538 794 
666983947667116034 950 2495 
666996132027977728 90 238 
667012601033924608 214 438 
667044094246576128 49 180 
667062181243039745 51 211 
667065535570550784 44 160 
667070482143944705 14 82 
667073648344346624 117 390 
667090893657276420 122 328 
667119796878725120 125 322 
667138269671505920 2142 4512 
667152164079423490 16524 46691 
667160273090932737 61 250 
667165590075940865 1106 2627 
667171260800061440 84 217 
667174963120574464 79 238 
667176164155375616 450 599 
667177989038297088 55 186 
667182792070062081 6010 14053 
667188689915760640 399 731 
667192066997374976 98 377 
667200525029539841 256 603 
667211855547486208 239 480 
667369227918143488 159 358 
667393430834667520 53 190 
667405339315146752 217 455 
667435689202614272 83 301 
667437278097252352 230 440 
667443425659232256 561 766 
667453023279554560 88 303 
667455448082227200 59 187 
667470559035432960 96 251 
667491009379606528 221 522 
667495797102141441 263 508 
667502640335572993 216 526 
667509364010450944 2073 6670 
667517642048163840 188 362 
667524857454854144 1085 1660 
667530908589760512 233 457 
667534815156183040 511 807 
667538891197542400 64 200 
667544320556335104 513 847 
667546741521195010 121 332 
667549055577362432 2220 5685 
667550882905632768 32 0 
667550904950915073 34 0 
667724302356258817 313 472 
667728196545200128 146 373 
667766675769573376 212 434 
667773195014021121 55 233 
667782464991965184 241 401 
667793409583771648 323 689 
667801013445750784 95 323 
667806454573760512 482 1041 
667832474953625600 61 288 
667861340749471744 75 236 
667866724293877760 1009 2972 
667873844930215936 396 619 
667878741721415682 115 385 
667885044254572545 469 804 
667886921285246976 1056 1852 
667902449697558528 370 838 
667911425562669056 297 482 
667915453470232577 55 205 
667924896115245057 109 294 
667937095915278337 773 1236 
668113020489474048 235 659 
668142349051129856 277 566 
668154635664932864 302 482 
668171859951755264 189 481 
668190681446379520 193 646 
668204964695683073 190 552 
668221241640230912 192 506 
668226093875376128 102 294 
668237644992782336 2798 6097 
668248472370458624 472 965 
668256321989451776 596 1284 
668268907921326080 232 547 
668274247790391296 227 810 
668286279830867968 135 496 
668291999406125056 29 238 
668297328638447616 294 612 
668466899341221888 506 872 
668480044826800133 144 449 
668484198282485761 231 417 
668496999348633600 128 404 
668507509523615744 101 318 
668528771708952576 220 452 
668537837512433665 72 249 
668542336805281792 211 446 
668544745690562560 217 508 
668567822092664832 52 241 
668587383441514497 1054 1657 
668614819948453888 313 606 
668620235289837568 40 196 
668623201287675904 750 1406 
668625577880875008 129 381 
668627278264475648 111 311 
668631377374486528 310 705 
668633411083464705 1596 2769 
668636665813057536 481 1029 
668641109086707712 532 1061 
668643542311546881 523 868 
668645506898350081 520 874 
668655139528511488 216 524 
668779399630725120 368 697 
668815180734689280 263 566 
668826086256599040 134 428 
668852170888998912 164 448 
668872652652679168 297 519 
668892474547511297 148 394 
668902994700836864 100 314 
668932921458302977 58 260 
668955713004314625 71 275 
668960084974809088 235 698 
668967877119254528 22 146 
668975677807423489 571 1288 
668979806671884288 342 788 
668981893510119424 301 531 
668986018524233728 165 548 
668988183816871936 461 888 
668989615043424256 325 674 
668992363537309700 337 733 
668994913074286592 226 436 
669000397445533696 6274 20632 
669006782128353280 244 572 
669015743032369152 370 735 
669037058363662336 307 647 
669203728096960512 467 994 
669214165781868544 161 433 
669216679721873412 401 1183 
669324657376567296 205 492 
669327207240699904 115 570 
669328503091937280 413 1009 
669351434509529089 181 431 
669353438988365824 259 632 
669354382627049472 1260 2674 
669359674819481600 121 366 
669363888236994561 222 613 
669367896104181761 149 454 
669371483794317312 177 496 
669375718304980992 717 1320 
669393256313184256 75 362 
669564461267722241 121 380 
669567591774625800 55 231 
669571471778410496 1002 1578 
669573570759163904 138 431 
669583744538451968 915 1477 
669597912108789760 149 508 
669603084620980224 357 941 
669625907762618368 1790 3491 
669661792646373376 426 798 
669680153564442624 284 658 
669682095984410625 132 347 
669683899023405056 110 385 
669684865554620416 88 510 
669749430875258880 65 264 
669753178989142016 391 804 
669923323644657664 54 230 
669926384437997569 99 368 
669942763794931712 159 496 
669970042633789440 59 301 
669972011175813120 156 444 
669993076832759809 83 323 
670003130994700288 92 331 
670037189829525505 269 584 
670040295598354432 110 750 
670046952931721218 171 642 
670055038660800512 328 662 
670061506722140161 331 755 
670069087419133954 233 617 
670073503555706880 771 1562 
670079681849372674 1210 2204 
670086499208155136 246 690 
670093938074779648 329 1014 
670290420111441920 281 697 
670303360680108032 130 426 
670319130621435904 1206 3835 
670338931251150849 107 418 
670361874861563904 65 325 
670374371102445568 267 744 
670385711116361728 202 554 
670403879788544000 153 424 
670408998013820928 220 553 
670411370698022913 880 2003 
670417414769758208 315 563 
670420569653809152 309 622 
670421925039075328 622 1289 
670427002554466305 160 518 
670428280563085312 613 1365 
670433248821026816 111 325 
670434127938719744 639 1386 
670435821946826752 508 1040 
670442337873600512 196 636 
670444955656130560 1951 6643 
670449342516494336 643 1184 
670452855871037440 202 541 
670465786746662913 540 959 
670468609693655041 86 350 
670474236058800128 730 1496 
670668383499735048 4951 10570 
670676092097810432 41 245 
670679630144274432 276 741 
670691627984359425 241 588 
670704688707301377 369 766 
670717338665226240 485 1189 
670727704916926465 353 820 
670733412878163972 505 950 
670755717859713024 109 435 
670764103623966721 414 1059 
670778058496974848 72 324 
670780561024270336 286 780 
670782429121134593 758 1544 
670783437142401025 383 816 
670786190031921152 200 598 
670789397210615808 239 655 
670792680469889025 273 820 
670797304698376195 234 731 
670803562457407488 87 338 
670804601705242624 943 1937 
670807719151067136 486 1146 
670811965569282048 268 1114 
670815497391357952 1518 3145 
670822709593571328 93 601 
670823764196741120 186 763 
670826280409919488 3991 5475 
670832455012716544 213 725 
670833812859932673 121 436 
670838202509447168 682 1092 
670840546554966016 193 582 
670842764863651840 8552 24328 
670995969505435648 290 1099 
671109016219725825 433 1128 
671115716440031232 766 1357 
671122204919246848 2487 3457 
671134062904504320 191 738 
671138694582165504 398 909 
671141549288370177 649 1144 
671147085991960577 218 662 
671151324042559489 152 663 
671154572044468225 216 703 
671159727754231808 81 368 
671163268581498880 1086 1645 
671166507850801152 348 863 
671182547775299584 340 1107 
671186162933985280 207 732 
671347597085433856 421 946 
671355857343524864 114 479 
671357843010908160 147 394 
